X,Y,OBJECTID_1,NAZIV,ADRESA,BROJ_UTICNICA,TIP_UTICNICE
15.885127074,45.798742286,1,HR050024,JANKOMIR 33,2,AC
15.911986787,45.7966525640001,2,HR050053,ULICA ROBERTA FRANGEŠA - MIHANOVIĆA 9,4,AC
15.949455764,45.7978442580001,3,TREŠNJEVKA,PARK STARA TREŠNJEVKA 4,3,"AC, DC"
15.9560300960001,45.790002208,4,HR050101,SAVSKA CESTA 163,2,AC
15.9712581700001,45.795267004,5,FSB 2,ULICA IVANA LUČIČA 5,2,AC
15.9779686470001,45.8006272160001,6,GRADSKO POGLAVARSTVO,TRG STJEPANA RADIĆA 1,3,"AC, DC"
15.9802990900001,45.808198185,7,GARAŽA PETRINJSKA,PETRINJSKA ULICA 59,2,AC
15.981914943,45.8144758970001,8,GARAŽA LANGOV TRG,TRG JOSIPA LANGA 13,2,AC
15.9696196730001,45.8159797160001,9,GARAŽA TUŠKANAC,TUŠKANAC 1B,2,AC
15.990279937,45.803962347,10,STROJARSKA,STROJARSKA CESTA 20,2,AC
15.9970763920001,45.814812214,11,GARAŽA KVATRIČ,TRG EUGENA KVATERNIKA 6,2,AC
15.9975600180001,45.813198146,12,GARAŽA GORICA,MARTIĆEVA ULICA 69,2,AC
16.0027400060001,45.8069473520001,13,HR050102,ULICA EUGENA PODAUBSKOGA 6,1,AC
15.999561085,45.804201533,14,HR050175,ULICA IVANA  ZAHARA 21,3,"AC, DC"
16.001547934,45.8029516020001,15,GREEN GOLD CLUB,RADNIČKA CESTA 52,6,AC
16.000256538,45.802256609,16,HR050066,ULICA GRADA VUKOVARA 269A,2,AC
16.0072872910001,45.8033111070001,17,SUPER KONZUM RADNIČKA,RADNIČKA CESTA 49,2,AC
16.0177362370001,45.794772966,18,CAPRAŠKA ULICA,CAPRAŠKA ULICA 6,2,AC
16.011707873,45.8148782220001,19,TRG J.F. KENNEDYJA,TRG JOHNA FITZGERALDA KENNEDYJA 8,2,AC
16.0503522230001,45.802658643,20,HR050022,SLAVONSKA AVENIJA 11D,2,AC
16.085220447,45.8047840570001,21,HR050157,SLAVONSKA AVENIJA 100,3,"AC, DC"
16.1560469890001,45.793553199,22,HR050099,ULICA ALFREDA NOBELA 2,8,AC
15.940965179,45.870199653,23,UTVRDA MEDVEDGRAD,PRILAZ KRALJIČINOM ZDENCU BB,2,AC
15.9454957520001,45.8985012200001,24,HOTEL TOMISLAVOV DOM,SLJEMENSKA CESTA 21,2,AC
15.9342660840001,45.7689844810001,25,HR050130,JARUŠČICA 6,3,"AC, DC"
15.943402421,45.7670575930001,26,HR050315,KARLOVAČKA CESTA 5,3,"AC, DC"
15.969896331,45.7774855810001,27,VELESAJAM,AVENIJA DUBROVNIK 15,3,"AC, DC"
15.999592955,45.7775202020001,28,HR050137,MARETIĆEVA ULICA 12,3,"AC, DC"
15.986079886,45.7611308720001,29,HR050131,ULICA KARELA ZAHRADNIKA 16,3,"AC, DC"
16.0133333690001,45.734819299,30,HR050124,MASLENIČKA ULICA 1,1,AC
16.0426756530001,45.7917107660001,31,DOKING d.o.o.,1 KANALSKI PUT,2,AC
16.039144591,45.8244293060001,32,ZLATARNA DODIĆ,DUBRAVA 2,2,AC
15.978156879,45.776685195,33,AVENUE MALL SHOPPING CENTER,RESSELOVA ULICA,2,AC
15.988144543,45.755242502,34,SUPERNOVA SHOPPING CENTAR,AVENIJA VEĆESLAVA HOLJEVCA 5,,
15.9978149250001,45.8046802690001,35,RESTAURANT MOSTOVI BY VELE,RADNIČKA CESTA 1,2,AC
15.97991067,45.8111440760001,36,APARTMENT HOTEL ZIGZAG,PETRINJSKA ULICA 9,,
15.973598555,45.7990115600001,37,HOTEL INTERNATIONAL,MIRAMARSKA CESTA 24,,
15.975851429,45.8054246840001,38,ESPLANADE ZAGREB HOTEL,MIHANOVIĆEVA ULICA 1,,
15.9688484610001,45.8013282590001,39,HEP,KUPSKA ULICA 4,,
16.002855717,45.8024418470001,40,"GREEN GOLD, RADNIČKA CESTA 52",RADNIČKA CESTA 52,,
